Metric,Value
Total Electric Energy (kWh),451.49579971758817
Total Gas Energy (therms),76.67662114400002
Average Electric Power (kW),0.6270774996077614
Peak Electric Power (kW),4.278154517961063
HVAC Cooling Electric Energy (kWh),34.75
HVAC Heating Electric Energy (kWh),65.99708828125
Other Electric Energy (kWh),302.83602095781856
Lighting Electric Energy (kWh),47.9126904785196
HVAC Heating Gas Energy (therms),65.23264324324325
Water Heating Gas Energy (therms),11.443977900756792
Average Temperature - Indoor (C),20.27614742460406
Unmet Heating Load (C-hours),44.530972184217106
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.0
